digit,pncc_1,pncc_2,pncc_3,pncc_4,pncc_5,pncc_6,pncc_7,pncc_8,pncc_9,pncc_10,pncc_11,pncc_12,pncc_13,pncc_delta_1,pncc_delta_2,pncc_delta_3,pncc_delta_4,pncc_delta_5,pncc_delta_6,pncc_delta_7,pncc_delta_8,pncc_delta_9,pncc_delta_10,pncc_delta_11,pncc_delta_12,pncc_delta_13,pncc_delta2_1,pncc_delta2_2,pncc_delta2_3,pncc_delta2_4
0,2.748735710156325e-07,6.590290535513077e-09,-8.447458732518953e-09,4.080630056080281e-09,1.109587888237229e-08,-5.497723876146665e-08,-1.6259670942986304e-08,-1.9816530638649965e-09,2.710220492474491e-08,-6.532686835925006e-09,1.3065745818607866e-08,-7.601411944335723e-09,2.19809281887251e-09,-0.04256027564406395,0.009458575397729874,-0.010818802751600742,0.028686881065368652,0.00921738613396883,0.0005001823301427066,-0.006724389269948006,0.006235572509467602,0.008253115229308605,0.010584352537989616,-0.00729577150195837,-0.00831753108650446,-0.00694783590734005,-0.011350504122674465,0.0022640975657850504,-0.006139041855931282,0.007323071826249361
1,-3.772200329876796e-07,-6.199115887284279e-08,4.0356379571449e-08,-3.561450856448545e-10,-4.589084667827592e-09,1.5078082782338242e-08,-4.438704337417221e-08,5.448427486953733e-09,7.264020496222656e-10,8.547671903613718e-09,1.9046222377028243e-08,1.7311597488856023e-08,2.0846913528771438e-08,-0.04383888468146324,-0.021808255463838577,0.029663829132914543,0.03133009746670723,-0.00017802565707825124,0.0012186948442831635,0.0054176002740859985,0.003993956837803125,0.0060480921529233456,0.008627000264823437,0.0013349947985261679,-0.020241601392626762,0.001863054814748466,-0.012061734683811665,0.002783901058137417,0.015053017996251583,0.001946012955158949
2,-8.363905124042503e-08,-7.1588122096954976e-09,5.16424902841095e-09,-3.390159264426984e-08,3.0099236880687386e-08,-9.04178776295339e-09,1.170942276473852e-08,-1.0625801571961802e-08,-1.9176473742277267e-08,-4.730824176846227e-09,1.4857963748227121e-08,-1.0377624981572353e-08,-5.234127575803882e-10,-0.04281098395586014,0.04234063997864723,-0.038916055113077164,0.03298936039209366,-0.02086230367422104,0.019084079191088676,-0.022808801382780075,0.006087491288781166,-0.011769060045480728,0.0042509716004133224,-0.005346702411770821,-0.011640132404863834,0.00040739873657003045,0.001106928801164031,-0.0024421082343906164,0.001888696220703423,0.0006041833548806608
3,-6.274710244724702e-07,2.9097699805191723e-09,-3.825998717843504e-08,-1.4965765515739804e-08,-6.138711228231841e-08,-2.2130692833854937e-09,1.3045581503945414e-08,3.67779451337924e-09,-4.778721862663815e-10,-3.745556309553422e-09,-5.0375814630854165e-09,5.125670554662065e-09,-1.5504696193602285e-08,-0.031634505838155746,0.016697658225893974,-0.010659768246114254,0.024088390171527863,0.006083114538341761,-0.014313234016299248,-0.002651577116921544,0.012108344584703445,-0.012831109575927258,0.012629886157810688,-0.011683030985295773,-0.0274313073605299,0.004867678973823786,-0.008185455575585365,-0.005550484172999859,0.002803611569106579,-0.0014811169821769
4,-7.65925349810459e-08,1.042118995542296e-07,-9.996482752683278e-09,8.669847773035144e-08,2.8006179597639402e-09,-4.394710817479108e-09,-3.065843756644426e-08,-8.77368400153955e-09,6.091473547797932e-09,-2.0364419039964332e-09,-1.2868512477837157e-08,-1.5419962196006054e-08,8.97263152666028e-09,-0.06147780269384384,-0.017567533999681473,0.05164264142513275,0.03281446173787117,-0.03643829748034477,0.007495844271034002,0.017591379582881927,-0.005483892280608416,0.01313677616417408,0.008469605818390846,-0.0223736222833395,-0.0012847993057221174,0.013841942884027958,-0.008073399774730206,-0.0037707083392888308,0.0046606529504060745,0.0005937195965088904
5,1.4278948867740837e-07,1.7953917463842117e-08,3.40335049031637e-08,6.5957861394849715e-09,-1.022791273896928e-08,-1.167149377145904e-09,9.322881133755345e-09,1.4865337405467471e-08,2.1235551983522782e-08,8.314656518848551e-09,-8.943570328767692e-09,-1.5554729726474648e-09,8.328001399604545e-09,-0.05273781344294548,0.028281252831220627,0.03373076394200325,-0.01476247701793909,-0.008209411054849625,0.01644771918654442,0.011654350906610489,-0.000759696529712528,-0.014254090376198292,-0.01564863510429859,0.01088564470410347,0.013696783222258091,-0.012597785331308842,-0.013836199417710304,0.010446901433169842,0.006130036897957325,-0.009437859058380127
6,-1.509877165517537e-07,3.819994631726331e-08,8.036149523604763e-08,-4.1570469733187565e-08,-1.237319580127405e-08,-1.7030243881777096e-08,1.33854038963932e-08,-7.412061187039853e-09,-2.2246892328325885e-08,1.3844113411209946e-08,2.4782582652704832e-09,5.563491889404304e-09,5.009904158193024e-10,-0.03657662868499756,0.009500346146523952,-0.015582460910081863,0.027102390304207802,0.012529567815363407,-0.01650526002049446,-0.004351279232650995,-0.006939799524843693,0.01757325790822506,0.015896152704954147,-0.017304955050349236,-0.014302248135209084,0.02583310566842556,-0.006223775912076235,0.00048490663175471127,-0.005186317954212427,0.012967540882527828
7,1.593452338966017e-07,1.1747868455813659e-07,1.3150800448613609e-08,5.016893922515919e-08,-3.3504370833270514e-08,2.0962431790394476e-09,-1.1826278623061626e-08,9.952319857120528e-09,9.893184049758474e-09,-7.16958670210488e-09,-2.0631363284451254e-08,-3.180405494518368e-09,8.247292626606395e-09,-0.02960645593702793,0.019978545606136322,0.0039694057777523994,0.02638641558587551,-0.01160377822816372,-0.007064904551953077,-0.003606242360547185,0.005798480473458767,-0.023611368611454964,-0.004090778063982725,0.006423010956496,0.006998786702752113,-0.003079244401305914,-0.003745466936379671,0.002425246639177203,-0.003317788941785693,-0.006691087502986193
8,5.866253616204631e-08,5.524364965481254e-09,2.4777863316671755e-08,-6.7150294214002315e-09,-3.3153533252061607e-08,2.1824439144779717e-08,2.8414332220449978e-08,-1.310930120013154e-08,-2.485864625256795e-09,2.0083115614966118e-08,1.179525810357518e-09,-1.4083823884902813e-08,2.1577072573109035e-08,-0.04900623485445976,0.01484584715217352,0.010364002548158169,0.01505760382860899,0.012649071402847767,-0.02995632030069828,0.028699474409222603,0.010994172655045986,0.012153742834925652,-0.007271056994795799,-0.022866372019052505,-0.01633615978062153,0.019310204312205315,-0.022367672994732857,0.011747556738555431,0.0018361924448981881,0.013018962927162647
9,-2.6792076823767275e-07,1.1048783221667691e-07,2.052939862551284e-08,1.8987753591659384e-09,9.308629422832837e-09,-8.873880297244341e-09,2.037426227730066e-08,1.3092998685237944e-08,-2.175423174932689e-09,-1.8454619166163866e-08,-1.1181066739140988e-08,5.479715015077602e-10,-1.1230118168725767e-08,-0.026488197967410088,-0.007487767841666937,-0.0012892242521047592,0.01600429229438305,0.02418196015059948,0.012847388163208961,0.0021396689116954803,-0.0051902467384934425,0.011026622727513313,-0.004318311344832182,-0.005743364803493023,0.0003010310174431652,0.003928343765437603,-0.007755756378173828,-0.0021728926803916693,-0.0008098362595774233,0.006422192323952913
