selected_rank,original_index,feature_name
0,0,pncc_1
1,1,pncc_2
2,2,pncc_3
3,3,pncc_4
4,4,pncc_5
5,5,pncc_6
6,6,pncc_7
7,7,pncc_8
8,8,pncc_9
9,9,pncc_10
10,10,pncc_11
11,11,pncc_12
12,12,pncc_13
13,13,pncc_delta_1
14,14,pncc_delta_2
15,15,pncc_delta_3
16,16,pncc_delta_4
17,17,pncc_delta_5
18,18,pncc_delta_6
19,19,pncc_delta_7
20,20,pncc_delta_8
21,21,pncc_delta_9
22,22,pncc_delta_10
23,23,pncc_delta_11
24,24,pncc_delta_12
25,25,pncc_delta_13
26,26,pncc_delta2_1
27,27,pncc_delta2_2
28,28,pncc_delta2_3
29,29,pncc_delta2_4
30,30,pncc_delta2_5
31,31,pncc_delta2_6
32,32,pncc_delta2_7
33,33,pncc_delta2_8
34,34,pncc_delta2_9
35,35,pncc_delta2_10
36,36,pncc_delta2_11
37,37,pncc_delta2_12
38,38,pncc_delta2_13
